wl;up_coef;dw_coef;wl_F;up_coef_F;dw_coef_F;Device ID
700.1513528;0.003081175;0.001230581;558.2313767;2.74E-05;0.000211169;
700.3177733;0.003079203;0.001229974;558.9398979;2.74E-05;0.000211127;
700.4841611;0.003077125;0.001229378;559.6482389;2.75E-05;0.000211101;
700.6505162;0.003074962;0.001228791;560.3563996;2.75E-05;0.000211091;
700.8168386;0.003072745;0.001228214;561.0643801;2.76E-05;0.0002111;
700.9831282;0.003070505;0.001227644;561.7721802;2.76E-05;0.000211128;
701.1493851;0.003068273;0.001227083;562.4797999;2.77E-05;0.000211178;
701.3156092;0.003066078;0.001226528;563.1872392;2.77E-05;0.000211252;
701.4818006;0.003063951;0.00122598;563.894498;2.78E-05;0.00021135;
701.6479593;0.003061914;0.001225437;564.6015762;2.79E-05;0.000211473;
701.8140852;0.003059949;0.001224898;565.3084738;2.79E-05;0.000211617;
701.9801783;0.003058029;0.00122436;566.0151907;2.80E-05;0.000211776;
702.1462387;0.003056127;0.00122382;566.7217269;2.80E-05;0.000211945;
702.3122663;0.003054217;0.001223276;567.4280824;2.81E-05;0.000212117;
702.4782612;0.003052272;0.001222726;568.134257;2.81E-05;0.000212288;
702.6442233;0.003050265;0.001222167;568.8402508;2.82E-05;0.000212454;
702.8101526;0.003048178;0.001221598;569.5460636;2.83E-05;0.000212614;
702.9760491;0.003046019;0.001221024;570.2516955;2.83E-05;0.000212774;
703.1419129;0.003043808;0.001220452;570.9571463;2.84E-05;0.000212935;
703.3077439;0.003041562;0.001219889;571.6624161;2.84E-05;0.0002131;
703.4735421;0.0030393;0.001219341;572.3675047;2.85E-05;0.000213273;
703.6393075;0.003037037;0.001218815;573.0724121;2.85E-05;0.000213456;
703.8050401;0.003034794;0.001218317;573.7771383;2.86E-05;0.000213654;
703.9707399;0.003032583;0.00121785;574.4816833;2.86E-05;0.000213872;
704.1364069;0.003030408;0.001217406;575.1860468;2.87E-05;0.000214117;
704.3020412;0.003028266;0.001216969;575.890229;2.88E-05;0.000214398;
704.4676426;0.003026157;0.001216528;576.5942298;2.88E-05;0.00021472;
704.6332112;0.003024081;0.00121607;577.298049;2.89E-05;0.000215092;
704.798747;0.003022034;0.00121558;578.0016867;2.90E-05;0.00021552;
704.96425;0.003020018;0.001215046;578.7051428;2.91E-05;0.00021601;
705.1297202;0.003018032;0.00121446;579.4084172;2.92E-05;0.000216563;
